Relatório Atividades;;;;;;;
;;;;;;;
Gerado em: 03/07/2026 10:15:49;;;;;;;
;;;;;;;
Detalhamento: Atividade;;;;;;;
;;;;;;;
UF filtrada: Ignorado (detalhamento por Atividade);;;;;;;
;;;;;;;
Caderno filtrado: Ignorado;;;;;;;
;;;;;;;
Atividades: Todas as atividades;;;;;;;
;;;;;;;
Atividade;Total de perfis;Básicos;Completos;Campanhas;Capa;Tel. a atualizar;E-mails a atualizar
ATIVIDADE MÉDICA AMBULATORIAL COM RECURSOS PARA REALIZAÇÃO DE EXAMES COMPLEMENTARES;12207;12207;0;0;0;71;1123
ATIVIDADE MÉDICA AMBULATORIAL COM RECURSOS PARA REALIZAÇÃO DE PROCEDIMENTOS CIRÚRGICOS;8087;8087;0;0;0;162;541
ATIVIDADES AUXILIARES DA JUSTIÇA;5;5;0;0;0;0;2
ATIVIDADES AUXILIARES DOS SEGUROS, DA PREVIDÊNCIA COMPLEMENTAR E DOS PLANOS DE SAÚDE;698;698;0;0;0;12;76
ATIVIDADES AUXILIARES DOS TRANSPORTES AQUAVIÁRIOS NÃO ESPECIFICADAS ANTERIORMENTE;204;204;0;0;0;1;34
ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS METÁLICOS NÃO FERROSOS;115;115;0;0;0;0;5
ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS NÃO METÁLICOS;285;285;0;0;0;0;26
ATIVIDADES DE APOIO À EXTRAÇÃO DE MINÉRIO DE FERRO;53;53;0;0;0;0;5
ATIVIDADES DE APOIO À EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL;174;174;0;0;0;3;8
ATIVIDADES DE APOIO À GESTÃO DE SAÚDE;3254;3254;0;0;0;29;183
ATIVIDADES DE APOIO À PECUÁRIA NÃO ESPECIFICADAS ANTERIORMENTE;1281;1281;0;0;0;12;169
ATIVIDADES DE APOIO À PESCA EM ÁGUA DOCE;30;30;0;0;0;0;1
ATIVIDADES DE APOIO À PESCA EM ÁGUA SALGADA;40;40;0;0;0;0;11
ATIVIDADES DE APOIO À PRODUÇÃO FLORESTAL;2032;2032;0;0;0;13;172
Atividades de apoio à aqüicultura em água doce;70;70;0;0;0;0;7
Atividades de apoio à aqüicultura em água salgada e salobra;28;28;0;0;0;1;4
ATIVIDADES DE ARTISTAS PLÁSTICOS, JORNALISTAS INDEPENDENTES E ESCRITORES;1826;1826;0;0;0;21;112
ATIVIDADES DE ASSISTÊNCIA A DEFICIENTES FÍSICOS, IMUNODEPRIMIDOS E CONVALESCENTES;131;131;0;0;0;2;6
ATIVIDADES DE ASSISTÊNCIA PSICOSSOCIAL E À SAÚDE A PORTADORES DE DISTÚRBIOS PSÍQUICOS, DEFICIÊNCIA MENTAL E DEPENDÊNCIA QUÍMICA E GRUPOS SIMILARES;978;978;0;0;0;5;55
ATIVIDADES DE ASSISTÊNCIA SOCIAL PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES NÃO ESPECIFICADAS ANTERIORMENTE;207;207;0;0;0;1;10
ATIVIDADES DE BANCO DE LEITE HUMANO;1;1;0;0;0;0;0
ATIVIDADES DE COBRANÇAS E INFORMAÇÕES CADASTRAIS;51417;51417;0;0;0;514;3864
ATIVIDADES DE FISIOTERAPIA;32472;32472;0;0;0;254;2253
ATIVIDADES DE FONOAUDIOLOGIA;10725;10725;0;0;0;95;430
ATIVIDADES DE FORNECIMENTO DE INFRA-ESTRUTURA DE APOIO E ASSISTÊNCIA A PACIENTE NO DOMICÍLIO;147010;147010;0;0;0;2441;10723
ATIVIDADES DE LIMPEZA;24452;24452;0;0;0;237;1957
ATIVIDADES DE PÓS-COLHEITA;733;733;0;0;0;2;104
ATIVIDADES DE PÓS-PRODUÇÃO CINEMATOGRÁFICA, DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO;83612;83612;0;0;0;1201;1146
ATIVIDADES DE RÁDIO;2740;2740;0;0;0;40;405
ATIVIDADES DE SERVIÇOS DE COMPLEMENTAÇÃO DIAGNÓSTICA E TERAPÊUTICA NÃO ESPECIFICADAS ANTERIORMENTE;735;735;0;0;0;13;90
ATIVIDADES DE TELEVISÃO ABERTA;576;576;0;0;0;7;88
ATIVIDADES DE VIGILÂNCIA E SEGURANÇA PRIVADA;7291;7291;0;0;0;28;1090
ATIVIDADES FUNERÁRIAS E SERVIÇOS RELACIONADOS NÃO ESPECIFICADOS ANTERIORMENTE;671;671;0;0;0;4;126
ATIVIDADES RELACIONADAS A ESGOTO, EXCETO A GESTÃO DE REDES;3384;3384;0;0;0;29;380
AUDITORIA E CONSULTORIA ATUARIAL;258;258;0;0;0;4;12
AÇAÍ;86;86;0;0;0;1;4
BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, COM ENTRETENIMENTO;72697;72697;0;0;0;688;2888
BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO;137700;137700;0;0;0;795;40642
BATATA;6;6;0;0;0;0;1
BENEFICIAMENTO DE ARROZ;141;141;0;0;0;8;49
